,Individual,Gene,TotalNormalizedReads
248,SRR10507661,KpsU,2.2337193071356927
249,SRR10507661,NagA,10.1678667651096
250,SRR10507661,NagB,264.80591716760455
251,SRR10507661,NanA,4.674116165627779
252,SRR10507661,NanC,0.4065258674962781
253,SRR10507661,NanE,436.9656075914984
254,SRR10507661,NanK,2.7754785665703667
255,SRR10507661,NanT,1.2801025455403894
256,SRR10507661,NeuA,1.3088510036327226
257,SRR10507661,NeuB,41.10253246196938
258,SRR10507661,NeuC,46.97421981995251
259,SRR10507661,NeuO,272.49937204469575
260,SRR10507661,SOAT,3.433209948467085
261,SRR10507661,SatA,3.820185523085111
262,SRR10507661,SatB,23.985538143034518
263,SRR10507661,SatC,26.700822808121725
264,SRR10507661,SatD,3265.9845285283486
265,SRR10507661,SiaM,8.833764302055723
266,SRR10507661,SiaP,2.5946585536148707
267,SRR10507661,SiaT,11.696316539510526
269,SRR10507664,KpsC,7.062694543432682
270,SRR10507664,KpsD,16.61680834605238
271,SRR10507664,KpsE,1.793728000750867
272,SRR10507664,KpsF,157.06851286578947
273,SRR10507664,KpsS,2.712495792348752
274,SRR10507664,KpsU,170.78931020072625
275,SRR10507664,Lic3A,5.018085150248761
276,SRR10507664,NagA,144.951310009474
277,SRR10507664,NagB,118.54242821862871
278,SRR10507664,NanA,36.85856358494343
279,SRR10507664,NanB,11.187833196626071
280,SRR10507664,NanC,4.168551035034421
281,SRR10507664,NanE,127.530728654692
282,SRR10507664,NanK,8.842931993411671
283,SRR10507664,NanT,7.277106274580026
284,SRR10507664,NeuA,26.203092374899995
285,SRR10507664,NeuB,49.92365313983592
286,SRR10507664,NeuC,13.207666939937676
287,SRR10507664,NeuO,89.8077410408071
288,SRR10507664,NeuS,0.3856072206373944
289,SRR10507664,SOAT,240.69213717044724
290,SRR10507664,SatA,7.230051057207126
291,SRR10507664,SatB,178.59929408558142
292,SRR10507664,SatC,136.79025553077634
293,SRR10507664,SatD,1234.353269297094
